Partner,CODE,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,80011074,60758887,150391516,262153213,417393793,495283664,481633366,1508592966,2151400794,2921861778,1521555394,1410116220,812720949,478711524,913874351,942037823,1226885151,750615209
Albania,ALB,14810034,9687873,20094075,18513925,27631235,33965115,40031060,48018565,46432350,47562162,54082290,74364825,51256821,30897665,50293415,62086958,59200123,85664137
Algeria,DZA,984414800,487381152,971581705,1106190448,1101903341,1652434839,1243228549,1107826652,1194325446,1596975135,1363163393,1848703921,2616922429,1875732769,2191261625,1061823305,1261067304,999323369
Andorra,AND,10993901,8190542,11625376,10549473,8988508,14463888,15723474,9426362,7682080,5161272,2238367,5796907,3789433,3336817,2830268,3285167,3065762,3350386
Angola,AGO,374047169,490609324,593896743,929046776,1388849572,1242031263,2019179085,1423050894,1293490947,1503222549,1490579464,1443395524,2039267110,1166094807,1249758184,809493487,525185650,536171052
Anguilla,AIA,19865469,21489983,20783691,32186758,43139388,92544430,81032495,52914578,35575958,31193536,27409044,31037512,58385175,47602633,42896633,59398299,115705453,88572809
Antigua and Barbuda,ATG,81359228,127313765,125745287,190447421,193606251,240400286,182521043,156889923,158339672,154792008,204627966,145103078,216602773,677669756,261504955,425616676,513062889,478081163
Argentina,ARG,1585395999,2437303964,3388087564,4121861182,4775927712,5855853074,7536315425,5568885625,7392136090,9898793593,10258063599,10351132910,10822941337,9361856868,8526705609,9602249082,9927159979,8078856733
Armenia,ARM,111846797,102784291,90655266,65483218,80368168,110609110,151418421,77094568,113450618,94316257,64299297,91221471,60410659,50246170,43578116,54991338,46590036,52903979
Aruba,ABW,464581524,355009130,384399551,558924451,510530936,528763861,680253631,445673618,540475447,713268343,710275291,1099787667,1300152489,1167593143,801043271,967556924,602147195,519236806
Australia,AUS,13084993973,13087602344,13957900450,15588519677,17545739796,19178197903,22218649074,19599303927,21804647444,27626182324,31161378813,26123737344,26681740360,25032402498,22144768326,24518273103,25310025234,26025178105
